Symbol,Name,Last Sale,Market Cap,% Change,Sector,Industry
MNST,Monster Beverage Corporation,$59.50,61917855983.0,-0.635%,Consumer Staples,Beverages (Production/Distribution)
MO,Altria Group Inc.,$42.98,75793587090.0,-4.383%,Health Care, Medicinal Chemicals and Botanical Products 
MOH,Molina Healthcare Inc Common Stock,$414.72,24219648000.0,-0.725%,Health Care,Medical Specialities
MOS,Mosaic Company (The) Common Stock,$31.18,10030261087.0,-2.684%,Industrials,Agricultural Chemicals
MPC,Marathon Petroleum Corporation Common Stock,$200.17,72333177384.0,0.482%,Energy,Integrated oil Companies
MPWR,Monolithic Power Systems Inc. Common Stock,$672.31,32715276910.0,-0.434%,Technology,Semiconductors
MRK,Merck & Company Inc. Common Stock (new),$123.85,313667943547.0,0.186%,Health Care,Biotechnology: Pharmaceutical Preparations
MRNA,Moderna Inc. Common Stock,$105.43,40281978319.0,1.287%,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRO,Marathon Oil Corporation Common Stock,$27.10,15642048700.0,-0.368%,Energy,Oil & Gas Production
MS,Morgan Stanley Common Stock,$91.95,150362919909.0,-1.552%,Finance,Investment Bankers/Brokers/Service
MSCI,MSCI Inc. Common Stock,$553.11,43746140269.0,-1.893%,Consumer Discretionary,Business Services
MSFT,Microsoft Corporation Common Stock,$428.74,3185725228821.0,-0.147%,Technology,Computer Software: Prepackaged Software
MSI,Motorola Solutions Inc. Common Stock,$348.56,57907311857.0,-0.175%,Technology,Radio And Television Broadcasting And Communications Equipment
MTB,M&T Bank Corporation Common Stock,$142.15,23685642966.0,-2.537%,Finance,Major Banks
MTCH,Match Group Inc. Common Stock,$35.75,9581420206.0,0.168%,Technology,Computer Software: Programming Data Processing
MTD,Mettler-Toledo International Inc. Common Stock,$1327.60,28515128758.0,-0.825%,Industrials,Biotechnology: Laboratory Analytical Instruments
MU,Micron Technology Inc. Common Stock,$110.21,121661797665.0,0.328%,Technology,Semiconductors
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,$20.70,8811109588.0,0.779%,Consumer Discretionary,Marine Transportation
NDAQ,Nasdaq Inc. Common Stock,$61.63,35449980909.0,-0.34%,Finance,Investment Bankers/Brokers/Service
NDSN,Nordson Corporation Common Stock,$268.52,15357261627.0,-0.60%,Industrials,Industrial Machinery/Components
NEE,NextEra Energy Inc. Common Stock,$61.78,126799073134.0,0.684%,Utilities,Electric Utilities: Central
NEM,Newmont Corporation,$33.77,38921667768.0,-2.201%,Basic Materials,Precious Metals
NFLX,Netflix Inc. Common Stock,$628.01,271777346348.0,0.851%,Consumer Discretionary,Consumer Electronics/Video Chains
NI,NiSource Inc Common Stock,$27.10,12127914736.0,0.00%,Utilities,Power Generation
NKE,Nike Inc. Common Stock,$93.86,142209357302.0,-6.903%,Consumer Discretionary,Shoe Manufacturing
NOC,Northrop Grumman Corporation Common Stock,$468.75,70329236719.0,0.27%,Industrials,Industrial Machinery/Components
NOW,ServiceNow Inc. Common Stock,$774.15,158700750000.0,0.125%,Technology,Computer Software: Prepackaged Software
NRG,NRG Energy Inc. Common Stock,$67.17,13972771376.0,0.194%,Utilities,Electric Utilities: Central
NSC,Norfolk Southern Corporation Common Stock,$254.12,57401008813.0,-1.424%,Industrials,Railroads
NTAP,NetApp Inc. Common Stock,$104.73,2161382760.0,-0.324%,Technology,Electronic Components
NTRS,Northern Trust Corporation Common Stock,$85.54,17522143193.0,-1.11%,Finance,Major Banks
NUE,Nucor Corporation Common Stock,$194.44,46810464994.0,-0.988%,Industrials,Steel/Iron Ore
NVDA,NVIDIA Corporation Common Stock,$942.89,2357225000000.0,3.121%,Technology,Semiconductors
NVR,NVR Inc. Common Stock,$7971.71,25399039901.0,-0.378%,Consumer Discretionary,Homebuilding
NWS,News Corporation Class B Common Stock,$26.80,15305992925.0,-1.543%,Consumer Discretionary,Newspapers/Magazines
NWSA,News Corporation Class A Common Stock,$25.90,14791985700.0,-1.183%,Consumer Discretionary,Newspapers/Magazines
NXPI,NXP Semiconductors N.V. Common Stock,$244.33,62660690996.0,-0.723%,Technology,Semiconductors
O,Realty Income Corporation Common Stock,$52.08,44847325265.0,-0.781%,Real Estate,Real Estate Investment Trusts
ODFL,Old Dominion Freight Line Inc. Common Stock,$441.07,48004799986.0,-0.843%,Industrials,Trucking Freight/Courier Services
OKE,ONEOK Inc. Common Stock,$79.03,46087091017.0,-0.554%,Utilities,Oil & Gas Production
OMC,Omnicom Group Inc. Common Stock,$93.97,18605375616.0,-0.361%,Consumer Discretionary,Advertising
ON,ON Semiconductor Corporation Common Stock,$74.68,31912903731.0,-1.452%,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$127.79,351232604060.0,-0.946%,Technology,Computer Software: Prepackaged Software
ORLY,O'Reilly Automotive Inc. Common Stock,$1167.53,68926984085.0,0.395%,Consumer Discretionary,Auto & Home Supply Stores
OTIS,Otis Worldwide Corporation Common Stock ,$99.34,40277862547.0,-0.878%,Technology,Consumer Electronics/Appliances
OXY,Occidental Petroleum Corporation Common Stock,$63.81,56120859203.0,-0.188%,Energy,Oil & Gas Production
PANW,Palo Alto Networks Inc. Common Stock,$286.78,92658618000.0,-0.296%,Technology,Computer peripheral equipment
PARA,Paramount Global Class B Common Stock,$11.25,7340456903.0,-4.822%,Industrials,Broadcasting
PAYC,Paycom Software Inc. Common Stock,$192.47,11078575702.0,-0.548%,Technology,Computer Software: Prepackaged Software
PAYX,Paychex Inc. Common Stock,$120.84,43480869454.0,-1.218%,Consumer Discretionary,Business Services
PCAR,PACCAR Inc. Common Stock,$123.75,64830605029.0,-0.538%,Consumer Discretionary,Auto Manufacturing
PCG,Pacific Gas & Electric Co. Common Stock,$16.41,47190917605.0,-0.122%,Utilities,Power Generation
PEG,Public Service Enterprise Group Incorporated Common Stock,$65.03,32423086338.0,1.864%,Utilities,Electric Utilities: Central
PEP,PepsiCo Inc. Common Stock,$172.02,236429323197.0,-0.249%,Consumer Staples,Beverages (Production/Distribution)
PFE,Pfizer Inc. Common Stock,$27.36,154495857708.0,-1.085%,Health Care,Biotechnology: Pharmaceutical Preparations
PFG,Principal Financial Group Inc Common Stock,$83.53,19702094719.0,-1.136%,Finance,Specialty Insurers
PG,Procter & Gamble Company (The) Common Stock,$161.66,380389383590.0,-0.124%,Consumer Discretionary,Package Goods/Cosmetics
PGR,Progressive Corporation (The) Common Stock,$205.70,120473854345.0,0.063%,Finance,Property-Casualty Insurers
PH,Parker-Hannifin Corporation Common Stock,$554.89,71253898776.0,-1.026%,Industrials,Metal Fabrications
PHM,PulteGroup Inc. Common Stock,$116.45,24700495385.0,0.336%,Consumer Discretionary,Homebuilding
PKG,Packaging Corporation of America Common Stock,$184.72,16555367262.0,-0.157%,Consumer Discretionary,Containers/Packaging
PLD,Prologis Inc. Common Stock,$128.62,118958194220.0,-0.978%,Real Estate,Real Estate Investment Trusts
PM,Philip Morris International Inc Common Stock,$90.88,141087255535.0,-1.432%,Health Care, Medicinal Chemicals and Botanical Products 
PNC,PNC Financial Services Group Inc. (The) Common Stock,$155.51,61863139497.0,-1.457%,Finance,Major Banks
PNR,Pentair plc. Ordinary Share,$83.94,13878179021.0,-0.921%,Industrials,Industrial Machinery/Components
PNW,Pinnacle West Capital Corporation Common Stock,$73.01,8281332065.0,0.178%,Utilities,Electric Utilities: Central
PODD,Insulet Corporation Common Stock,$164.31,11489496696.0,-1.398%,Health Care,Medical/Dental Instruments
POOL,Pool Corporation Common Stock,$416.38,15979061753.0,-0.618%,Consumer Discretionary,Industrial Specialties
PPG,PPG Industries Inc. Common Stock,$142.56,33537905042.0,-0.731%,Consumer Discretionary,Paints/Coatings
PPL,PPL Corporation Common Stock,$27.08,19974300289.0,0.296%,Utilities,Electric Utilities: Central
PRU,Prudential Financial Inc. Common Stock,$114.60,41141400000.0,-0.942%,Finance,Life Insurance
PSA,Public Storage Common Stock,$279.37,49082907535.0,-0.883%,Real Estate,Real Estate Investment Trusts
PSX,Phillips 66 Common Stock,$159.45,68216605204.0,0.233%,Energy,Integrated oil Companies
PTC,PTC Inc. Common Stock,$190.28,22748431623.0,0.311%,Technology,Computer Software: Prepackaged Software
PWR,Quanta Services Inc. Common Stock,$255.92,37300077938.0,-0.148%,Industrials,Engineering & Construction
PXD,Pioneer Natural Resources Company Common Stock,$255.53,59697716109.0,0.039%,Energy,Oil & Gas Production
PYPL,PayPal Holdings Inc. Common Stock,$64.77,69416720531.0,-2.071%,Consumer Discretionary,Business Services
QCOM,QUALCOMM Incorporated Common Stock,$170.10,189831600000.0,-0.439%,Technology,Radio And Television Broadcasting And Communications Equipment
QRVO,Qorvo Inc. Common Stock,$114.38,11043212626.0,-0.867%,Technology,Semiconductors
RCL,Royal Caribbean Cruises Ltd. Common Stock,$136.02,34909552995.0,0.169%,Consumer Discretionary,Marine Transportation
REG,Regency Centers Corporation Common Stock,$59.34,10952891394.0,-2.289%,Real Estate,Real Estate Investment Trusts
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$967.24,106166096287.0,-0.08%,Health Care,Biotechnology: Pharmaceutical Preparations
RF,Regions Financial Corporation Common Stock,$19.86,18248639993.0,-1.439%,Finance,Major Banks
RHI,Robert Half Inc. Common Stock,$79.53,8367233516.0,-1.912%,Consumer Discretionary,Professional Services
RJF,Raymond James Financial Inc. Common Stock,$125.59,26251778042.0,-0.404%,Finance,Investment Bankers/Brokers/Service
RL,Ralph Lauren Corporation Common Stock,$187.60,11992434306.0,-1.481%,Consumer Discretionary,Apparel
RMD,ResMed Inc. Common Stock,$192.00,28241066496.0,-0.893%,Health Care,Medical/Dental Instruments
ROK,Rockwell Automation Inc. Common Stock,$286.38,32816863260.0,-1.279%,Industrials,Industrial Machinery/Components
ROL,Rollins Inc. Common Stock,$46.54,22520013206.0,0.043%,Finance,Diversified Commercial Services
ROP,Roper Technologies Inc. Common Stock,$556.38,59545085635.0,0.018%,Industrials,Industrial Machinery/Components
ROST,Ross Stores Inc. Common Stock,$145.37,48941175088.0,-1.236%,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RSG,Republic Services Inc. Common Stock,$190.51,59936461405.0,0.735%,Utilities,Environmental Services
RTX,RTX Corporation Common Stock,$95.54,126765041644.0,1.358%,Industrials,Aerospace
RVTY,Revvity Inc. Common Stock,$103.25,12754454018.0,-1.732%,Industrials,Biotechnology: Laboratory Analytical Instruments
SBAC,SBA Communications Corporation Class A Common Stock,$215.47,23294176849.0,0.209%,Real Estate,Real Estate Investment Trusts
SBUX,Starbucks Corporation Common Stock,$90.71,102701862000.0,-1.036%,Consumer Discretionary,Restaurants
SCHW,Charles Schwab Corporation (The) Common Stock,$71.60,130624821689.0,-0.348%,Finance,Investment Bankers/Brokers/Service
SHW,Sherwin-Williams Company (The) Common Stock,$342.87,87248250658.0,-1.256%,Consumer Discretionary,RETAIL: Building Materials
SJM,The J.M. Smucker Company Common Stock,$124.47,13215670709.0,0.428%,Consumer Staples,Packaged Foods
SLB,Schlumberger N.V. Common Stock,$53.99,77353745223.0,-0.827%,Energy,Oilfield Services/Equipment
SMCI,Super Micro Computer Inc. Common Stock,$972.74,54408587424.0,0.116%,Technology,Computer Manufacturing
SNA,Snap-On Incorporated Common Stock,$291.63,15372850253.0,-0.529%,Consumer Discretionary,Industrial Machinery/Components
SNPS,Synopsys Inc. Common Stock,$594.20,90641460598.0,-1.297%,Technology,Computer Software: Prepackaged Software
SO,Southern Company (The) Common Stock,$69.80,76152854887.0,-0.143%,Utilities,Power Generation
SPG,Simon Property Group Inc. Common Stock,$151.86,49491023659.0,-2.535%,Real Estate,Real Estate Investment Trusts
SPGI,S&P Global Inc. Common Stock,$419.13,131648733000.0,-2.198%,Finance,Finance: Consumer Services
SRE,DBA Sempra Common Stock,$69.77,44105099639.0,-0.215%,Utilities,Oil/Gas Transmission
STE,STERIS plc (Ireland) Ordinary Shares,$229.00,22628414015.0,0.841%,Health Care,Industrial Specialties
STLD,Steel Dynamics Inc.,$144.01,22775843082.0,0.104%,Industrials,Steel/Iron Ore
STT,State Street Corporation Common Stock,$75.84,22899400425.0,-0.119%,Finance,Major Banks
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$89.01,18648549988.0,0.633%,Technology,Electronic Components
STZ,Constellation Brands Inc. Common Stock,$268.24,49039655309.0,-0.412%,Consumer Staples,Beverages (Production/Distribution)
SWK,Stanley Black & Decker Inc. Common Stock,$94.68,14561979704.0,-1.179%,Consumer Discretionary,Industrial Machinery/Components
SWKS,Skyworks Solutions Inc. Common Stock,$105.57,16915047313.0,-0.565%,Technology,Semiconductors
SYF,Synchrony Financial Common Stock,$41.55,16904351663.0,-2.579%,Finance,Finance: Consumer Services
SYK,Stryker Corporation Common Stock,$352.62,134088704374.0,-0.252%,Health Care,Medical/Dental Instruments
SYY,Sysco Corporation Common Stock,$81.59,40617929139.0,-0.061%,Consumer Discretionary,Food Distributors
T,AT&T Inc.,$16.98,121454412456.0,-1.049%,Telecommunications,Telecommunications Equipment
TAP,Molson Coors Beverage Company Class B Common Stock,$67.16,13469946676.0,0.134%,Consumer Staples,Beverages (Production/Distribution)
TDG,Transdigm Group Incorporated Common Stock,$1231.20,68462428543.0,-0.096%,Industrials,Military/Government/Technical
TDY,Teledyne Technologies Incorporated Common Stock,$424.03,20088999203.0,0.116%,Industrials,Industrial Machinery/Components
TECH,Bio-Techne Corp Common Stock,$71.50,11239205478.0,-1.148%,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$143.31,44253982827.0,-0.472%,Technology,Industrial Machinery/Components
TER,Teradyne Inc. Common Stock,$110.75,16953677225.0,-0.628%,Industrials,Electrical Products
TFC,Truist Financial Corporation Common Stock,$37.69,50298431290.0,-0.946%,Finance,Major Banks
TFX,Teleflex Incorporated Common Stock,$220.94,10396659133.0,-1.538%,Health Care,Medical/Dental Instruments
TGT,Target Corporation Common Stock,$168.63,77854819438.0,-0.905%,Consumer Discretionary,Department/Specialty Retail Stores
TJX,TJX Companies Inc. (The) Common Stock,$99.48,113375049656.0,0.302%,Consumer Discretionary,Clothing/Shoe/Accessory Stores
TMO,Thermo Fisher Scientific Inc Common Stock,$583.09,222339370348.0,-0.178%,Industrials,Industrial Machinery/Components
TMUS,T-Mobile US Inc. Common Stock,$160.61,190622801221.0,-0.199%,Telecommunications,Telecommunications Equipment
TPR,Tapestry Inc. Common Stock,$46.95,10768740930.0,-2.371%,Consumer Discretionary,Apparel
TRGP,Targa Resources Inc. Common Stock,$110.90,24747929757.0,-0.099%,Utilities,Natural Gas Distribution
TRMB,Trimble Inc. Common Stock,$64.20,15773117020.0,-0.757%,Industrials,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,$118.62,26530145299.0,-1.593%,Finance,Investment Bankers/Brokers/Service
TRV,The Travelers Companies Inc. Common Stock,$224.45,51427295686.0,-0.743%,Finance,Property-Casualty Insurers
TSCO,Tractor Supply Company Common Stock,$262.97,28378809894.0,-1.202%,Consumer Discretionary,RETAIL: Building Materials
TSLA,Tesla Inc. Common Stock,$170.83,544057746594.0,-1.151%,Consumer Discretionary,Auto Manufacturing
TSN,Tyson Foods Inc. Common Stock,$58.05,20686020440.0,-0.034%,Consumer Staples,Meat/Poultry/Fish
TT,Trane Technologies plc,$300.29,68187518145.0,-1.185%,Industrials,Auto Parts:O.E.M.
TTWO,Take-Two Interactive Software Inc. Common Stock,$152.46,26007604221.0,0.191%,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$172.48,156833937839.0,-0.064%,Technology,Semiconductors
TXT,Textron Inc. Common Stock,$95.85,18485054079.0,0.461%,Industrials,Aerospace
TYL,Tyler Technologies Inc. Common Stock,$419.29,17725961063.0,-0.425%,Technology,Computer Software: Prepackaged Software
UAL,United Airlines Holdings Inc. Common Stock,$46.47,15243362690.0,-0.343%,Consumer Discretionary,Air Freight/Delivery Services
UBER,Uber Technologies Inc. Common Stock,$80.23,166597386402.0,-0.025%,Consumer Discretionary,Business Services
UDR,UDR Inc. Common Stock,$37.16,12233967742.0,-1.196%,Real Estate,Real Estate Investment Trusts
UHS,Universal Health Services Inc. Common Stock,$180.49,12132779115.0,-0.155%,Health Care,Hospital/Nursing Management
ULTA,Ulta Beauty Inc. Common Stock,$520.37,25269956601.0,-0.607%,Consumer Discretionary,Other Specialty Stores
UNH,UnitedHealth Group Incorporated Common Stock (DE),$490.07,451812248798.0,-0.329%,Health Care,Medical Specialities
UNP,Union Pacific Corporation Common Stock,$244.97,149377295593.0,-1.266%,Industrials,Railroads
UPS,United Parcel Service Inc. Common Stock,$156.27,133244093842.0,0.612%,Consumer Discretionary,Air Freight/Delivery Services
URI,United Rentals Inc. Common Stock,$714.27,47992963417.0,-0.665%,,
USB,U.S. Bancorp Common Stock,$43.59,67919036257.0,-1.935%,Finance,Major Banks
V,Visa Inc.,$283.26,520209738189.0,-2.449%,Consumer Discretionary,Business Services
VFC,V.F. Corporation Common Stock,$14.09,5478416820.0,-3.095%,Consumer Discretionary,Apparel
VICI,VICI Properties Inc. Common Stock,$28.82,30050023911.0,-1.268%,Real Estate,Real Estate Investment Trusts
VLO,Valero Energy Corporation Common Stock,$169.64,56402230873.0,-0.784%,Energy,Integrated oil Companies
VLTO,Veralto Corp Common Stock ,$89.46,22055635959.0,-0.489%,Industrials,Electrical Products
VMC,Vulcan Materials Company (Holding Company) Common Stock,$274.36,36277829900.0,-0.446%,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VRSK,Verisk Analytics Inc. Common Stock,$234.86,33676548156.0,-0.445%,Consumer Discretionary,Business Services
VRSN,VeriSign Inc. Common Stock,$188.85,19054965000.0,-1.032%,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$415.66,107368226799.0,-0.012%,Health Care,Biotechnology: Pharmaceutical Preparations
VTR,Ventas Inc. Common Stock,$43.36,17450734065.0,-1.253%,Real Estate,Real Estate Investment Trusts
VTRS,Viatris Inc. Common Stock,$11.84,14060818724.0,-1.415%,Health Care, Medicinal Chemicals and Botanical Products 
VZ,Verizon Communications Inc. Common Stock,$40.37,169726478524.0,-0.419%,Telecommunications,Telecommunications Equipment
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,$143.78,25453195832.0,-0.746%,Industrials,Railroads
WAT,Waters Corporation Common Stock,$347.31,20561664036.0,-1.458%,Industrials,Biotechnology: Laboratory Analytical Instruments
WBA,Walgreens Boots Alliance Inc. Common Stock,$20.58,17747688346.0,-1.058%,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$8.44,20590960280.0,-3.211%,Telecommunications,Cable & Other Pay Television Services
WDC,Western Digital Corporation Common Stock,$63.94,20835472095.0,0.314%,Technology,Electronic Components
WEC,WEC Energy Group Inc. Common Stock,$80.01,25248076415.0,-0.037%,Utilities,Power Generation
WELL,Welltower Inc. Common Stock,$92.08,52382291673.0,-1.096%,Real Estate,Real Estate Investment Trusts
WFC,Wells Fargo & Company Common Stock,$57.13,204379346527.0,-1.245%,Finance,Major Banks
WM,Waste Management Inc. Common Stock,$211.78,85050440747.0,-0.306%,Utilities,Environmental Services
WMB,Williams Companies Inc. (The) Common Stock,$38.25,46540694079.0,-0.468%,Utilities,Natural Gas Distribution
WMT,Walmart Inc. Common Stock,$60.87,490493422786.0,-0.944%,Consumer Discretionary,Department/Specialty Retail Stores
WRB,W.R. Berkley Corporation Common Stock,$86.23,22122191728.0,0.478%,Finance,Property-Casualty Insurers
WRK,Westrock Company Common Stock,$48.22,12390935769.0,-1.249%,,
WST,West Pharmaceutical Services Inc. Common Stock,$393.92,28874058680.0,-0.498%,Health Care,Medical/Dental Instruments
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$273.21,27998957501.0,-0.474%,Finance,Specialty Insurers
WY,Weyerhaeuser Company Common Stock,$35.61,25978242810.0,0.225%,Real Estate,Real Estate Investment Trusts
WYNN,Wynn Resorts Limited Common stock,$99.89,11195497691.0,-0.07%,Consumer Discretionary,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,$52.27,29017992098.0,-0.057%,Utilities,Power Generation
XOM,Exxon Mobil Corporation Common Stock,$113.49,450310650401.0,0.00%,Energy,Oil & Gas Production
XRAY,DENTSPLY SIRONA Inc. Common Stock,$32.75,6791147289.0,-2.093%,Health Care,Medical/Dental Instruments
XYL,Xylem Inc. Common Stock New,$129.21,31239155064.0,-0.60%,Industrials,Fluid Controls
YUM,Yum! Brands Inc.,$136.23,38326441424.0,-0.249%,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet Holdings Inc. Common Stock,$127.20,26086687598.0,0.102%,Health Care,Industrial Specialties
ZBRA,Zebra Technologies Corporation Class A Common Stock,$291.44,14974597839.0,-1.227%,Industrials,Industrial Machinery/Components
ZTS,Zoetis Inc. Class A Common Stock,$168.90,77333755724.0,0.345%,Health Care,Biotechnology: Pharmaceutical Preparations
